maxIter,rank,regParam,MAP,MAP@100
10,50,0.00001,7.749193110960299e-06,8.607481452889887e-06
10,100,0.00001,1.9161848668674576e-05,2.062682741103551e-05
10,150,0.00001,4.104812738030579e-05,4.3625452568976466e-05
10,200,0.00001,8.481678133310715e-05,8.897746808200068e-05
10,250,0.00001,0.00015808368919869095,0.00016439574553441663
10,50,0.0001,5.7094147223403215e-06,6.3911546633012315e-06
10,100,0.0001,2.4546864800033124e-05,2.610155352631471e-05
10,150,0.0001,9.928942621711884e-05,0.00010221848159342554
10,200,0.0001,0.0002537040732301662,0.0002594419793133462
10,250,0.0001,0.0005114656414158626,0.0005232764631129211
10,50,0.001,7.921108060399553e-06,8.364181580613276e-06
10,100,0.001,0.00016059322341822286,0.00016225068924057015
10,150,0.001,0.000571579493758389537,0.000579315631407107
10,200,0.001,0.0014082310312850002,0.00014276549458425581
10,250,0.001,0.0020832597282698477,0.0021167142094041225
10,50,0.01,0.00064169917573910439,0.0006429223942605779
10,100,0.01,0.0029085008766712743,0.002918944742945471
10,150,0.01,0.0034724620643075983,0.003493124104378659
10,200,0.01,0.004084227191021149,0.004112728509195464
10,250,0.01,0.00410585501620803,0.00413642847060512
10,50,0.1,0.00017152088211075617,0.00017158316856200143
10,100,0.1,0.0001789257838031723,0.00017899099146069354
10,150,0.1,0.00018981409072924776,0.0001898729508110017
10,200,0.1,0.0001874757566799645,0.00018753459599308566
10,250,0.1,0.00018866923713971927,0.000187275696532505
10,300,0.25,1.376420990746896e-06,1.4159683417781938e-06
10,350,0.25,1.3752427677288975e-06,1.4123933867818391e-06
